Item,Retail.Price,Unit.Cost
VERSACE VE2054 100187 Womans Sunglasses - Sunglasses,111.95,104.21
Kente Kufi Kofi Cap Hat Style #1 - Hats & Caps,10.99,10.53
Toe Warmers Stroller - Boots,99.00,94.59
Kiwi Boot Lace 54 Long - Shoelaces,6.18,5.86
Pulsar Women's Bracelet watch #PEGA95 - Wrist Watches,59.95,48.66
9.0 Vault Pin - Brooches & Pins,4.50,3.67
9.0 Floor Pin - Brooches & Pins,4.50,4.21
Level 4 Gymnastics Pin - Brooches & Pins,4.50,4.26
MG Ladies Clip On Visor - Visors,11.59,10.64
Aerosoles Women's Envy Pump - Pumps,69.99,65.23
World Map Tan/taupe Microfiber Tie - Neckties,25.50,23.79
Rothco Military Style Quartz Watch - Wrist Watches,31.99,26.19
STX Field Hockey Prime Stick Bag - Sports Duffels,29.90,25.89
Blue Silk Tie | Nuclear Physics Necktie - Neckties,26.95,22.48
Native Eyewear Hardtop Sunglasses - Sunglasses,128.95,97.20
Olive Pit Rosary - Necklaces,13.32,9.90
Glow Stick Mega Set - Brooches & Pins,5.14,4.14
Black Bear Backpack - Casual Daypacks,20.99,18.13
Sesame Street Plush Backpack Elmo - Kids' Backpacks,16.47,13.58
Bulova Crystal Men's Watch 96B001 - Wrist Watches,390.00,362.94
Diego Plush Backpack Animal Rescuer - Kids' Backpacks,45.50,34.61
Timex Linwood Street Watch - Wrist Watches,2.84,2.37
Zeppelin Men's Watch(Model: 764215) - Wrist Watches,15.99,12.50
Checkbook Holder Wallet - Wallets,12.99,10.48
Negima: Nodoka & Yue Anime Pin Set of 2 - Brooches & Pins,10.80,9.30
Targus Feren Backpack - Casual Daypacks,6.69,6.19
Gurren Lagann Gurren Team Tote Bag - Sports Duffels,5.24,4.77
Timex Men's Charles Street Watch - Wrist Watches,2.39,2.15
Proguard Youth Suspender - Suspenders,18.62,16.78
NRS Paragon Pack System by - Travel Duffels,99.95,92.79
Harveys Women's Mini Messenger Bag - Messenger Bags,11.55,10.65
